Episodes: 1100 | Avg Return: -1039.46 | Avg Loss: 456.1497 | Time: 23.68s
Episodes: 1200 | Avg Return: -1031.30 | Avg Loss: 453.1831 | Time: 8.92s
Episodes: 1300 | Avg Return: -966.30 | Avg Loss: 448.2363 | Time: 8.63s
Episodes: 1400 | Avg Return: -1048.03 | Avg Loss: 434.8264 | Time: 9.67s
Episodes: 1500 | Avg Return: -879.99 | Avg Loss: 419.0890 | Time: 8.34s
Episodes: 1600 | Avg Return: -829.43 | Avg Loss: 397.9652 | Time: 8.26s
Episodes: 1700 | Avg Return: -728.70 | Avg Loss: 374.0792 | Time: 8.59s
Episodes: 1800 | Avg Return: -864.44 | Avg Loss: 356.1480 | Time: 8.69s
Episodes: 1900 | Avg Return: -900.85 | Avg Loss: 344.7669 | Time: 9.51s
Episodes: 2000 | Avg Return: -822.68 | Avg Loss: 335.6208 | Time: 8.76s
Episodes: 2100 | Avg Return: -788.71 | Avg Loss: 328.9019 | Time: 8.80s
Episodes: 2200 | Avg Return: -941.26 | Avg Loss: 323.9335 | Time: 8.98s
Episodes: 2300 | Avg Return: -849.07 | Avg Loss: 319.3733 | Time: 8.62s
Episodes: 2400 | Avg Return: -894.15 | Avg Loss: 315.0037 | Time: 8.62s
Episodes: 2500 | Avg Return: -786.12 | Avg Loss: 311.1272 | Time: 8.86s
Episodes: 2600 | Avg Return: -843.24 | Avg Loss: 306.9931 | Time: 8.83s
Episodes: 2700 | Avg Return: -798.52 | Avg Loss: 302.3336 | Time: 8.86s
Episodes: 2800 | Avg Return: -966.26 | Avg Loss: 298.8904 | Time: 8.84s
Episodes: 2900 | Avg Return: -898.89 | Avg Loss: 294.1373 | Time: 8.81s
Episodes: 3000 | Avg Return: -1039.17 | Avg Loss: 289.5469 | Time: 9.03s
Episodes: 3100 | Avg Return: -991.41 | Avg Loss: 284.6722 | Time: 8.74s
Episodes: 3200 | Avg Return: -923.07 | Avg Loss: 279.7625 | Time: 8.90s
Episodes: 3300 | Avg Return: -915.68 | Avg Loss: 274.5736 | Time: 8.78s
Episodes: 3400 | Avg Return: -1021.88 | Avg Loss: 269.1098 | Time: 8.98s
Episodes: 3500 | Avg Return: -918.18 | Avg Loss: 262.7793 | Time: 9.44s
Episodes: 3600 | Avg Return: -1022.83 | Avg Loss: 258.1325 | Time: 9.78s
Episodes: 3700 | Avg Return: -916.85 | Avg Loss: 252.3519 | Time: 9.56s
Episodes: 3800 | Avg Return: -1198.81 | Avg Loss: 246.9254 | Time: 9.33s
Episodes: 3900 | Avg Return: -1030.32 | Avg Loss: 241.5966 | Time: 9.25s
Episodes: 4000 | Avg Return: -1234.83 | Avg Loss: 235.3805 | Time: 9.25s
Episodes: 4100 | Avg Return: -1070.54 | Avg Loss: 229.2231 | Time: 9.22s
Episodes: 4200 | Avg Return: -1273.71 | Avg Loss: 222.4442 | Time: 9.29s
Episodes: 4300 | Avg Return: -1178.14 | Avg Loss: 217.2459 | Time: 9.23s
Episodes: 4400 | Avg Return: -1503.85 | Avg Loss: 210.8743 | Time: 9.62s
Episodes: 4500 | Avg Return: -1404.68 | Avg Loss: 204.8172 | Time: 9.44s
Episodes: 4600 | Avg Return: -1699.37 | Avg Loss: 198.7534 | Time: 9.31s
Episodes: 4700 | Avg Return: -1875.61 | Avg Loss: 192.9434 | Time: 9.00s
Episodes: 4800 | Avg Return: -2188.03 | Avg Loss: 188.6225 | Time: 9.39s
Episodes: 4900 | Avg Return: -2177.33 | Avg Loss: 183.1603 | Time: 9.85s
Episodes: 5000 | Avg Return: -1908.58 | Avg Loss: 177.7961 | Time: 9.10s
Episodes: 5100 | Avg Return: -1567.39 | Avg Loss: 173.0319 | Time: 8.96s
Episodes: 5200 | Avg Return: -1225.75 | Avg Loss: 168.5431 | Time: 9.54s
Episodes: 5300 | Avg Return: -844.48 | Avg Loss: 164.1631 | Time: 9.35s
Episodes: 5400 | Avg Return: -598.83 | Avg Loss: 160.0360 | Time: 8.91s
Episodes: 5500 | Avg Return: -628.29 | Avg Loss: 156.9303 | Time: 8.83s
Episodes: 5600 | Avg Return: -551.82 | Avg Loss: 154.3258 | Time: 9.38s
Episodes: 5700 | Avg Return: -535.16 | Avg Loss: 152.0122 | Time: 9.08s
