Episodes: 1100 | Avg Return: -1133.03 | Avg Loss: 455.0887 | Time: 19.34s
Episodes: 1200 | Avg Return: -1118.87 | Avg Loss: 453.1837 | Time: 4.91s
Episodes: 1300 | Avg Return: -993.72 | Avg Loss: 447.4621 | Time: 4.78s
Episodes: 1400 | Avg Return: -1033.63 | Avg Loss: 438.5920 | Time: 4.67s
Episodes: 1500 | Avg Return: -1118.65 | Avg Loss: 426.0640 | Time: 4.97s
Episodes: 1600 | Avg Return: -973.02 | Avg Loss: 412.3767 | Time: 4.81s
Episodes: 1700 | Avg Return: -960.64 | Avg Loss: 394.0411 | Time: 4.69s
Episodes: 1800 | Avg Return: -731.44 | Avg Loss: 376.9394 | Time: 4.87s
Episodes: 1900 | Avg Return: -846.63 | Avg Loss: 361.8237 | Time: 4.85s
Episodes: 2000 | Avg Return: -910.66 | Avg Loss: 349.2300 | Time: 5.09s
Episodes: 2100 | Avg Return: -989.21 | Avg Loss: 339.1281 | Time: 4.81s
Episodes: 2200 | Avg Return: -817.10 | Avg Loss: 331.2388 | Time: 4.87s
Episodes: 2300 | Avg Return: -717.33 | Avg Loss: 325.9679 | Time: 5.11s
Episodes: 2400 | Avg Return: -824.85 | Avg Loss: 321.7945 | Time: 4.90s
Episodes: 2500 | Avg Return: -648.20 | Avg Loss: 317.8947 | Time: 4.95s
Episodes: 2600 | Avg Return: -674.25 | Avg Loss: 314.4579 | Time: 4.95s
Episodes: 2700 | Avg Return: -838.61 | Avg Loss: 310.8642 | Time: 4.87s
Episodes: 2800 | Avg Return: -726.44 | Avg Loss: 307.8707 | Time: 4.80s
Episodes: 2900 | Avg Return: -753.90 | Avg Loss: 303.8004 | Time: 4.74s
Episodes: 3000 | Avg Return: -758.99 | Avg Loss: 300.3986 | Time: 4.77s
Episodes: 3100 | Avg Return: -683.13 | Avg Loss: 296.1114 | Time: 5.17s
Episodes: 3200 | Avg Return: -760.36 | Avg Loss: 291.5433 | Time: 5.97s
Episodes: 3300 | Avg Return: -646.23 | Avg Loss: 287.3410 | Time: 5.00s
