Ray cluster started. Available resources: {'GPU': 1.0, 'node:172.23.48.184': 1.0, 'memory': 9198943847.0, 'accelerator_type:G': 1.0, 'node:__internal_head__': 1.0, 'CPU': 12.0, 'object_store_memory': 3942404505.0}
Waiting for actors to initialize and run one episode...
[36m(DataActor pid=7609)[0m (DataActor pid=7609) Initializing on CPU...
[36m(DataActor pid=7609)[0m (DataActor pid=7609) Setup complete.
[36m(LearnerActor pid=7614)[0m (Learner pid=7614) Initializing on GPU...
[36m(LearnerActor pid=7614)[0m (Learner pid=7614) Setup complete.
[36m(DataActor pid=7617)[0m (DataActor pid=7617) Initializing on CPU...[32m [repeated 5x across cluster] (Ray deduplicates logs by default. Set RAY_DEDUP_LOGS=0 to disable log deduplication, or see https://docs.ray.io/en/master/ray-observability/user-guides/configure-logging.html#log-deduplication for more options.)[0m
[36m(DataActor pid=7617)[0m (DataActor pid=7617) Setup complete.[32m [repeated 5x across cluster][0m

Warmup phase...
  Buffer size: 1000/1000
Warmup complete. Starting main training loop.
Episodes: 1100 | Avg Return: -1412.62 | Avg Loss: 402.6051 | Time: 18.54s
Episodes: 1200 | Avg Return: -1436.01 | Avg Loss: 400.8378 | Time: 6.72s
Episodes: 1300 | Avg Return: -1413.05 | Avg Loss: 396.3452 | Time: 6.61s
Episodes: 1400 | Avg Return: -1509.60 | Avg Loss: 388.7889 | Time: 7.08s
Episodes: 1500 | Avg Return: -1385.66 | Avg Loss: 377.2575 | Time: 6.61s
Episodes: 1600 | Avg Return: -1296.09 | Avg Loss: 364.2047 | Time: 6.37s
Episodes: 1700 | Avg Return: -1449.51 | Avg Loss: 351.8509 | Time: 7.19s
Episodes: 1800 | Avg Return: -1648.74 | Avg Loss: 344.2600 | Time: 6.43s
Episodes: 1900 | Avg Return: -1394.47 | Avg Loss: 338.3117 | Time: 6.82s
Episodes: 2000 | Avg Return: -1592.32 | Avg Loss: 333.6355 | Time: 6.71s
Episodes: 2100 | Avg Return: -1360.41 | Avg Loss: 330.7674 | Time: 6.19s
Episodes: 2200 | Avg Return: -1412.52 | Avg Loss: 326.7251 | Time: 6.40s
Episodes: 2300 | Avg Return: -1588.85 | Avg Loss: 323.5609 | Time: 6.06s
Episodes: 2400 | Avg Return: -1545.52 | Avg Loss: 319.8508 | Time: 6.06s
Episodes: 2500 | Avg Return: -1644.56 | Avg Loss: 316.8298 | Time: 6.25s
Episodes: 2600 | Avg Return: -1282.34 | Avg Loss: 312.7900 | Time: 7.51s
Episodes: 2700 | Avg Return: -1281.30 | Avg Loss: 309.8829 | Time: 6.49s
Episodes: 2800 | Avg Return: -1328.10 | Avg Loss: 306.1444 | Time: 6.25s
Episodes: 2900 | Avg Return: -1414.22 | Avg Loss: 302.9555 | Time: 6.27s
Episodes: 3000 | Avg Return: -1663.02 | Avg Loss: 299.1603 | Time: 6.33s
Episodes: 3100 | Avg Return: -1737.97 | Avg Loss: 295.5470 | Time: 7.71s
Episodes: 3200 | Avg Return: -1637.91 | Avg Loss: 292.0725 | Time: 8.00s
Episodes: 3300 | Avg Return: -1711.01 | Avg Loss: 288.3449 | Time: 6.50s
Episodes: 3400 | Avg Return: -1829.14 | Avg Loss: 282.4136 | Time: 6.56s
Episodes: 3500 | Avg Return: -1736.68 | Avg Loss: 277.4576 | Time: 6.46s
Episodes: 3600 | Avg Return: -1659.49 | Avg Loss: 273.7694 | Time: 6.61s
Episodes: 3700 | Avg Return: -1633.43 | Avg Loss: 269.6355 | Time: 7.06s
Episodes: 3800 | Avg Return: -1905.93 | Avg Loss: 265.3006 | Time: 6.83s
Episodes: 3900 | Avg Return: -1641.84 | Avg Loss: 260.2310 | Time: 6.66s
Episodes: 4000 | Avg Return: -1871.35 | Avg Loss: 255.5984 | Time: 7.39s
Episodes: 4100 | Avg Return: -1775.52 | Avg Loss: 249.9569 | Time: 7.78s
Episodes: 4200 | Avg Return: -1825.27 | Avg Loss: 244.2499 | Time: 7.36s
Episodes: 4300 | Avg Return: -1638.77 | Avg Loss: 239.8478 | Time: 8.28s
Episodes: 4400 | Avg Return: -1704.32 | Avg Loss: 234.6808 | Time: 7.66s
Episodes: 4500 | Avg Return: -1807.66 | Avg Loss: 229.6491 | Time: 8.18s
Episodes: 4600 | Avg Return: -1711.60 | Avg Loss: 223.6350 | Time: 7.92s
Episodes: 4700 | Avg Return: -1826.24 | Avg Loss: 220.4726 | Time: 7.47s
Episodes: 4800 | Avg Return: -1912.07 | Avg Loss: 214.8817 | Time: 7.54s
Episodes: 4900 | Avg Return: -1639.06 | Avg Loss: 209.2892 | Time: 7.62s
Episodes: 5000 | Avg Return: -1642.12 | Avg Loss: 205.8868 | Time: 7.57s
Episodes: 5100 | Avg Return: -1561.67 | Avg Loss: 201.2167 | Time: 8.10s
Episodes: 5200 | Avg Return: -2007.77 | Avg Loss: 198.5146 | Time: 8.37s
Episodes: 5300 | Avg Return: -1638.77 | Avg Loss: 194.8099 | Time: 8.92s
Episodes: 5400 | Avg Return: -1631.38 | Avg Loss: 190.7014 | Time: 8.17s
Episodes: 5500 | Avg Return: -1610.01 | Avg Loss: 186.5272 | Time: 7.76s
Episodes: 5600 | Avg Return: -1802.20 | Avg Loss: 183.0988 | Time: 8.68s
Episodes: 5700 | Avg Return: -1765.64 | Avg Loss: 180.7887 | Time: 8.70s
Episodes: 5800 | Avg Return: -1339.53 | Avg Loss: 178.8441 | Time: 8.79s
Episodes: 5900 | Avg Return: -1442.11 | Avg Loss: 175.8559 | Time: 8.04s
Episodes: 6000 | Avg Return: -1376.19 | Avg Loss: 172.7371 | Time: 7.65s
Episodes: 6100 | Avg Return: -1357.98 | Avg Loss: 170.4992 | Time: 9.06s
Episodes: 6200 | Avg Return: -1051.25 | Avg Loss: 168.1432 | Time: 7.75s
Episodes: 6300 | Avg Return: -845.83 | Avg Loss: 165.3791 | Time: 8.08s
Episodes: 6400 | Avg Return: -756.68 | Avg Loss: 162.5176 | Time: 8.36s
Episodes: 6500 | Avg Return: -800.66 | Avg Loss: 160.1439 | Time: 8.14s
Episodes: 6600 | Avg Return: -681.48 | Avg Loss: 157.7601 | Time: 9.21s
Episodes: 6700 | Avg Return: -527.96 | Avg Loss: 156.3168 | Time: 8.11s
Episodes: 6800 | Avg Return: -639.28 | Avg Loss: 154.9027 | Time: 8.77s
Episodes: 6900 | Avg Return: -630.83 | Avg Loss: 153.7217 | Time: 7.48s
Episodes: 7000 | Avg Return: -594.50 | Avg Loss: 152.3443 | Time: 7.45s
Episodes: 7100 | Avg Return: -616.07 | Avg Loss: 150.7447 | Time: 7.42s
Episodes: 7200 | Avg Return: -625.37 | Avg Loss: 149.7558 | Time: 7.84s
Episodes: 7300 | Avg Return: -579.03 | Avg Loss: 148.8055 | Time: 8.98s
Episodes: 7400 | Avg Return: -586.20 | Avg Loss: 147.6963 | Time: 8.36s
Episodes: 7500 | Avg Return: -626.03 | Avg Loss: 147.1484 | Time: 8.33s
Episodes: 7600 | Avg Return: -528.14 | Avg Loss: 146.5102 | Time: 7.47s
Episodes: 7700 | Avg Return: -599.94 | Avg Loss: 145.9158 | Time: 7.42s
Episodes: 7800 | Avg Return: -533.34 | Avg Loss: 144.8735 | Time: 7.49s
Episodes: 7900 | Avg Return: -556.93 | Avg Loss: 144.2564 | Time: 7.68s
Episodes: 8000 | Avg Return: -558.86 | Avg Loss: 143.4563 | Time: 7.41s
Episodes: 8100 | Avg Return: -564.21 | Avg Loss: 143.0229 | Time: 7.46s
Episodes: 8200 | Avg Return: -559.58 | Avg Loss: 142.5346 | Time: 7.09s
Episodes: 8300 | Avg Return: -593.81 | Avg Loss: 141.5757 | Time: 7.34s
Episodes: 8400 | Avg Return: -631.17 | Avg Loss: 140.7531 | Time: 7.00s
Episodes: 8500 | Avg Return: -497.64 | Avg Loss: 139.9587 | Time: 7.15s
Episodes: 8600 | Avg Return: -583.37 | Avg Loss: 139.6952 | Time: 7.08s
Episodes: 8700 | Avg Return: -568.12 | Avg Loss: 139.3309 | Time: 6.99s
Episodes: 8800 | Avg Return: -516.86 | Avg Loss: 138.6633 | Time: 7.35s
Episodes: 8900 | Avg Return: -497.55 | Avg Loss: 138.0866 | Time: 7.54s
Episodes: 9000 | Avg Return: -585.44 | Avg Loss: 137.7105 | Time: 7.26s
Episodes: 9100 | Avg Return: -587.94 | Avg Loss: 137.3387 | Time: 7.13s
Episodes: 9200 | Avg Return: -541.92 | Avg Loss: 136.7969 | Time: 7.45s
Episodes: 9300 | Avg Return: -541.08 | Avg Loss: 135.9500 | Time: 6.92s
Episodes: 9400 | Avg Return: -571.73 | Avg Loss: 135.6706 | Time: 8.06s
Episodes: 9500 | Avg Return: -544.83 | Avg Loss: 135.4158 | Time: 7.60s
Episodes: 9600 | Avg Return: -498.13 | Avg Loss: 134.8478 | Time: 7.52s
Episodes: 9700 | Avg Return: -582.46 | Avg Loss: 134.3934 | Time: 7.38s
Episodes: 9800 | Avg Return: -590.86 | Avg Loss: 134.2224 | Time: 7.44s
Episodes: 9900 | Avg Return: -554.83 | Avg Loss: 133.5742 | Time: 7.47s
Episodes: 10000 | Avg Return: -529.58 | Avg Loss: 133.3373 | Time: 7.76s
Episodes: 10100 | Avg Return: -518.68 | Avg Loss: 133.1269 | Time: 7.90s
Episodes: 10200 | Avg Return: -541.84 | Avg Loss: 132.5808 | Time: 7.94s
Episodes: 10300 | Avg Return: -550.33 | Avg Loss: 132.2958 | Time: 7.24s
Episodes: 10400 | Avg Return: -569.34 | Avg Loss: 131.8806 | Time: 7.29s
Episodes: 10500 | Avg Return: -586.80 | Avg Loss: 131.5158 | Time: 7.77s
Episodes: 10600 | Avg Return: -582.79 | Avg Loss: 131.4442 | Time: 7.60s
Episodes: 10700 | Avg Return: -553.48 | Avg Loss: 131.2119 | Time: 7.82s
