Ray cluster started. Available resources: {'node:172.23.48.184': 1.0, 'memory': 9414347981.0, 'object_store_memory': 4034720563.0, 'accelerator_type:G': 1.0, 'node:__internal_head__': 1.0, 'CPU': 12.0, 'GPU': 1.0}
Waiting for actors to initialize and run one episode...
[36m(DataActor pid=102538)[0m (DataActor pid=102538) Initializing on CPU...
[36m(DataActor pid=102538)[0m (DataActor pid=102538) Setup complete.
[36m(LearnerActor pid=102534)[0m (Learner pid=102534) Initializing on GPU...
[36m(LearnerActor pid=102534)[0m (Learner pid=102534) Setup complete.
[36m(DataActor pid=102539)[0m (DataActor pid=102539) Initializing on CPU...[32m [repeated 5x across cluster] (Ray deduplicates logs by default. Set RAY_DEDUP_LOGS=0 to disable log deduplication, or see https://docs.ray.io/en/master/ray-observability/user-guides/configure-logging.html#log-deduplication for more options.)[0m
[36m(DataActor pid=102531)[0m (DataActor pid=102531) Setup complete.[32m [repeated 5x across cluster][0m

Warmup phase...
  Buffer size: 1000/1000
Warmup complete. Starting main training loop.
Episodes: 1100 | Avg Return: -1635.18 | Avg Loss: 402.3970 | Time: 16.87s
Episodes: 1200 | Avg Return: -1258.24 | Avg Loss: 400.5628 | Time: 6.84s
Episodes: 1300 | Avg Return: -1442.59 | Avg Loss: 395.5057 | Time: 7.02s
Episodes: 1400 | Avg Return: -1565.56 | Avg Loss: 386.1865 | Time: 7.39s
Episodes: 1500 | Avg Return: -1314.79 | Avg Loss: 377.3134 | Time: 7.09s
Episodes: 1600 | Avg Return: -1263.28 | Avg Loss: 363.8982 | Time: 6.65s
Episodes: 1700 | Avg Return: -1268.41 | Avg Loss: 353.4316 | Time: 6.57s
Episodes: 1800 | Avg Return: -1206.60 | Avg Loss: 344.3747 | Time: 6.44s
Episodes: 1900 | Avg Return: -1392.07 | Avg Loss: 338.7233 | Time: 7.66s
Episodes: 2000 | Avg Return: -1406.24 | Avg Loss: 335.5293 | Time: 6.71s
Episodes: 2100 | Avg Return: -1522.96 | Avg Loss: 331.7813 | Time: 7.02s
Episodes: 2200 | Avg Return: -1720.41 | Avg Loss: 327.1397 | Time: 7.49s
Episodes: 2300 | Avg Return: -1519.50 | Avg Loss: 324.1449 | Time: 8.57s
Episodes: 2400 | Avg Return: -1258.67 | Avg Loss: 321.5943 | Time: 6.86s
Episodes: 2500 | Avg Return: -1641.08 | Avg Loss: 318.0326 | Time: 6.90s
Episodes: 2600 | Avg Return: -1693.18 | Avg Loss: 315.4045 | Time: 6.69s
Episodes: 2700 | Avg Return: -1597.11 | Avg Loss: 311.2187 | Time: 6.65s
Episodes: 2800 | Avg Return: -1676.05 | Avg Loss: 307.2383 | Time: 6.68s
Episodes: 2900 | Avg Return: -1738.27 | Avg Loss: 304.9077 | Time: 6.72s
Episodes: 3000 | Avg Return: -1689.02 | Avg Loss: 302.7128 | Time: 6.56s
Episodes: 3100 | Avg Return: -1696.45 | Avg Loss: 298.7742 | Time: 6.69s
Episodes: 3200 | Avg Return: -1873.92 | Avg Loss: 294.4342 | Time: 6.90s
Episodes: 3300 | Avg Return: -1528.61 | Avg Loss: 290.4566 | Time: 6.71s
Episodes: 3400 | Avg Return: -1781.66 | Avg Loss: 286.4736 | Time: 6.64s
Episodes: 3500 | Avg Return: -1754.06 | Avg Loss: 282.6217 | Time: 6.98s
Episodes: 3600 | Avg Return: -1814.82 | Avg Loss: 278.7381 | Time: 6.95s
Episodes: 3700 | Avg Return: -1636.74 | Avg Loss: 274.1393 | Time: 6.87s
Episodes: 3800 | Avg Return: -1568.42 | Avg Loss: 269.2930 | Time: 7.15s
Episodes: 3900 | Avg Return: -1488.28 | Avg Loss: 264.5638 | Time: 7.14s
Episodes: 4000 | Avg Return: -1604.73 | Avg Loss: 260.5342 | Time: 7.27s
Episodes: 4100 | Avg Return: -1863.58 | Avg Loss: 254.6228 | Time: 7.42s
Episodes: 4200 | Avg Return: -1692.18 | Avg Loss: 248.7562 | Time: 7.27s
Episodes: 4300 | Avg Return: -1520.84 | Avg Loss: 242.7994 | Time: 7.69s
Episodes: 4400 | Avg Return: -1657.02 | Avg Loss: 238.1441 | Time: 7.39s
Episodes: 4500 | Avg Return: -1833.06 | Avg Loss: 232.9717 | Time: 7.33s
Episodes: 4600 | Avg Return: -2070.65 | Avg Loss: 227.6052 | Time: 7.66s
Episodes: 4700 | Avg Return: -1592.29 | Avg Loss: 222.6076 | Time: 7.18s
Episodes: 4800 | Avg Return: -1899.39 | Avg Loss: 217.3765 | Time: 7.24s
Episodes: 4900 | Avg Return: -2092.39 | Avg Loss: 212.6118 | Time: 7.25s
Episodes: 5000 | Avg Return: -1793.67 | Avg Loss: 207.0350 | Time: 7.46s
Episodes: 5100 | Avg Return: -1491.81 | Avg Loss: 201.6463 | Time: 7.45s
Episodes: 5200 | Avg Return: -1763.79 | Avg Loss: 196.2620 | Time: 7.29s
Episodes: 5300 | Avg Return: -1732.48 | Avg Loss: 190.3963 | Time: 7.53s
Episodes: 5400 | Avg Return: -1831.51 | Avg Loss: 186.2053 | Time: 7.50s
Episodes: 5500 | Avg Return: -1790.60 | Avg Loss: 182.9819 | Time: 7.58s
Episodes: 5600 | Avg Return: -1704.31 | Avg Loss: 180.1464 | Time: 7.57s
Episodes: 5700 | Avg Return: -1893.89 | Avg Loss: 176.6307 | Time: 7.57s
Episodes: 5800 | Avg Return: -1932.93 | Avg Loss: 172.6927 | Time: 7.60s
Episodes: 5900 | Avg Return: -2000.45 | Avg Loss: 170.2110 | Time: 7.50s
Episodes: 6000 | Avg Return: -1671.64 | Avg Loss: 168.1157 | Time: 7.45s
Episodes: 6100 | Avg Return: -1384.46 | Avg Loss: 164.3309 | Time: 7.64s
Episodes: 6200 | Avg Return: -1346.66 | Avg Loss: 161.4641 | Time: 7.62s
Episodes: 6300 | Avg Return: -897.58 | Avg Loss: 159.2892 | Time: 7.44s
Episodes: 6400 | Avg Return: -946.73 | Avg Loss: 157.3006 | Time: 7.61s
Episodes: 6500 | Avg Return: -675.19 | Avg Loss: 155.8572 | Time: 7.54s
Episodes: 6600 | Avg Return: -712.41 | Avg Loss: 154.1344 | Time: 7.31s
Episodes: 6700 | Avg Return: -781.45 | Avg Loss: 153.0896 | Time: 7.49s
Episodes: 6800 | Avg Return: -655.96 | Avg Loss: 152.0664 | Time: 7.39s
Episodes: 6900 | Avg Return: -770.13 | Avg Loss: 151.2870 | Time: 7.26s
Episodes: 7000 | Avg Return: -609.45 | Avg Loss: 150.2201 | Time: 7.42s
Episodes: 7100 | Avg Return: -694.07 | Avg Loss: 149.6708 | Time: 7.34s
Episodes: 7200 | Avg Return: -631.59 | Avg Loss: 148.8167 | Time: 7.45s
Episodes: 7300 | Avg Return: -669.45 | Avg Loss: 148.0972 | Time: 7.29s
Episodes: 7400 | Avg Return: -622.37 | Avg Loss: 147.1737 | Time: 7.23s
Episodes: 7500 | Avg Return: -627.88 | Avg Loss: 146.3461 | Time: 7.30s
Episodes: 7600 | Avg Return: -548.50 | Avg Loss: 145.6679 | Time: 7.20s
Episodes: 7700 | Avg Return: -640.67 | Avg Loss: 145.0100 | Time: 7.19s
Episodes: 7800 | Avg Return: -600.68 | Avg Loss: 144.1703 | Time: 7.27s
