Ray cluster started. Available resources: {'memory': 9225370829.0, 'CPU': 12.0, 'node:__internal_head__': 1.0, 'GPU': 1.0, 'accelerator_type:G': 1.0, 'object_store_memory': 3953730355.0, 'node:172.23.48.184': 1.0}
Waiting for actors to initialize and run one episode...
[36m(DataActor pid=55755)[0m (DataActor pid=55755) Initializing on CPU...
[36m(DataActor pid=55755)[0m (DataActor pid=55755) Setup complete.
[36m(LearnerActor pid=55753)[0m (Learner pid=55753) Initializing on GPU...
[36m(LearnerActor pid=55753)[0m (Learner pid=55753) Setup complete.
[36m(DataActor pid=55756)[0m (DataActor pid=55756) Initializing on CPU...[32m [repeated 5x across cluster] (Ray deduplicates logs by default. Set RAY_DEDUP_LOGS=0 to disable log deduplication, or see https://docs.ray.io/en/master/ray-observability/user-guides/configure-logging.html#log-deduplication for more options.)[0m
[36m(DataActor pid=55756)[0m (DataActor pid=55756) Setup complete.[32m [repeated 5x across cluster][0m

Warmup phase...
  Buffer size: 1000/1000
Warmup complete. Starting main training loop.
Episodes: 1100 | Avg Return: -1476.13 | Avg Loss: 401.6520 | Time: 17.13s
Episodes: 1200 | Avg Return: -1406.88 | Avg Loss: 400.4588 | Time: 6.61s
Episodes: 1300 | Avg Return: -1383.28 | Avg Loss: 396.3854 | Time: 6.77s
Episodes: 1400 | Avg Return: -1386.33 | Avg Loss: 388.4474 | Time: 6.98s
Episodes: 1500 | Avg Return: -1324.97 | Avg Loss: 378.2708 | Time: 6.75s
Episodes: 1600 | Avg Return: -1358.60 | Avg Loss: 365.7560 | Time: 6.41s
Episodes: 1700 | Avg Return: -1371.84 | Avg Loss: 356.2757 | Time: 6.82s
Episodes: 1800 | Avg Return: -1332.75 | Avg Loss: 347.7695 | Time: 6.45s
Episodes: 1900 | Avg Return: -1388.49 | Avg Loss: 342.4014 | Time: 6.06s
Episodes: 2000 | Avg Return: -1611.85 | Avg Loss: 337.9054 | Time: 6.28s
Episodes: 2100 | Avg Return: -1607.91 | Avg Loss: 333.1874 | Time: 6.58s
Episodes: 2200 | Avg Return: -1566.98 | Avg Loss: 330.3363 | Time: 6.50s
Episodes: 2300 | Avg Return: -1469.25 | Avg Loss: 326.8956 | Time: 6.35s
Episodes: 2400 | Avg Return: -1437.73 | Avg Loss: 323.5722 | Time: 6.58s
Episodes: 2500 | Avg Return: -1514.51 | Avg Loss: 320.3706 | Time: 6.82s
Episodes: 2600 | Avg Return: -1684.49 | Avg Loss: 317.1505 | Time: 7.44s
Episodes: 2700 | Avg Return: -1452.97 | Avg Loss: 314.2732 | Time: 6.93s
Episodes: 2800 | Avg Return: -1513.75 | Avg Loss: 310.3629 | Time: 7.40s
Episodes: 2900 | Avg Return: -1531.77 | Avg Loss: 308.0170 | Time: 5.96s
Episodes: 3000 | Avg Return: -1803.13 | Avg Loss: 304.3738 | Time: 6.41s
Episodes: 3100 | Avg Return: -1600.14 | Avg Loss: 298.9452 | Time: 6.80s
Episodes: 3200 | Avg Return: -1676.54 | Avg Loss: 294.4304 | Time: 6.97s
Episodes: 3300 | Avg Return: -1668.04 | Avg Loss: 290.4883 | Time: 6.22s
Episodes: 3400 | Avg Return: -1561.66 | Avg Loss: 285.9155 | Time: 6.55s
Episodes: 3500 | Avg Return: -1520.03 | Avg Loss: 281.6033 | Time: 6.31s
Episodes: 3600 | Avg Return: -1800.70 | Avg Loss: 276.8713 | Time: 6.54s
Episodes: 3700 | Avg Return: -1818.56 | Avg Loss: 272.5317 | Time: 8.05s
Episodes: 3800 | Avg Return: -1572.26 | Avg Loss: 267.0827 | Time: 7.23s
Episodes: 3900 | Avg Return: -1725.44 | Avg Loss: 262.9129 | Time: 7.36s
Episodes: 4000 | Avg Return: -1922.79 | Avg Loss: 258.7507 | Time: 7.23s
Episodes: 4100 | Avg Return: -1593.69 | Avg Loss: 252.7823 | Time: 7.75s
Episodes: 4200 | Avg Return: -1946.31 | Avg Loss: 247.4601 | Time: 7.31s
Episodes: 4300 | Avg Return: -1537.74 | Avg Loss: 242.5537 | Time: 7.68s
Episodes: 4400 | Avg Return: -1570.65 | Avg Loss: 237.3011 | Time: 7.37s
Episodes: 4500 | Avg Return: -1879.43 | Avg Loss: 232.5008 | Time: 7.91s
Episodes: 4600 | Avg Return: -1772.70 | Avg Loss: 226.6879 | Time: 8.39s
Episodes: 4700 | Avg Return: -1604.68 | Avg Loss: 221.8289 | Time: 7.65s
Episodes: 4800 | Avg Return: -1660.11 | Avg Loss: 216.6552 | Time: 7.91s
Episodes: 4900 | Avg Return: -1786.34 | Avg Loss: 211.6087 | Time: 8.14s
Episodes: 5000 | Avg Return: -1739.36 | Avg Loss: 207.0208 | Time: 8.38s
Episodes: 5100 | Avg Return: -1708.07 | Avg Loss: 203.0396 | Time: 7.49s
Episodes: 5200 | Avg Return: -1787.71 | Avg Loss: 197.4002 | Time: 8.14s
Episodes: 5300 | Avg Return: -1688.92 | Avg Loss: 192.7947 | Time: 7.80s
Episodes: 5400 | Avg Return: -2009.76 | Avg Loss: 188.4712 | Time: 7.62s
Episodes: 5500 | Avg Return: -1672.50 | Avg Loss: 185.8104 | Time: 7.73s
Episodes: 5600 | Avg Return: -1513.98 | Avg Loss: 182.6158 | Time: 7.68s
Episodes: 5700 | Avg Return: -1652.64 | Avg Loss: 178.7020 | Time: 7.86s
Episodes: 5800 | Avg Return: -1512.13 | Avg Loss: 175.8272 | Time: 7.84s
Episodes: 5900 | Avg Return: -1325.50 | Avg Loss: 172.8943 | Time: 7.92s
Episodes: 6000 | Avg Return: -1148.86 | Avg Loss: 170.4550 | Time: 8.67s
Episodes: 6100 | Avg Return: -989.85 | Avg Loss: 168.8194 | Time: 9.03s
Episodes: 6200 | Avg Return: -1059.39 | Avg Loss: 167.6967 | Time: 8.87s
Episodes: 6300 | Avg Return: -1022.28 | Avg Loss: 165.9630 | Time: 8.17s
Episodes: 6400 | Avg Return: -767.42 | Avg Loss: 163.7749 | Time: 8.84s
Episodes: 6500 | Avg Return: -777.94 | Avg Loss: 162.3601 | Time: 7.86s
Episodes: 6600 | Avg Return: -768.95 | Avg Loss: 160.6932 | Time: 8.56s
Episodes: 6700 | Avg Return: -665.11 | Avg Loss: 158.7649 | Time: 8.48s
Episodes: 6800 | Avg Return: -619.26 | Avg Loss: 157.4460 | Time: 7.87s
Episodes: 6900 | Avg Return: -680.47 | Avg Loss: 156.2925 | Time: 8.64s
Episodes: 7000 | Avg Return: -720.41 | Avg Loss: 154.8611 | Time: 8.03s
Episodes: 7100 | Avg Return: -672.73 | Avg Loss: 153.3118 | Time: 8.41s
Episodes: 7200 | Avg Return: -588.43 | Avg Loss: 151.8237 | Time: 7.99s
Episodes: 7300 | Avg Return: -602.27 | Avg Loss: 151.1550 | Time: 7.72s
Episodes: 7400 | Avg Return: -522.33 | Avg Loss: 149.8390 | Time: 7.65s
Episodes: 7500 | Avg Return: -519.68 | Avg Loss: 148.8527 | Time: 8.31s
Episodes: 7600 | Avg Return: -521.69 | Avg Loss: 147.8751 | Time: 9.35s
Episodes: 7700 | Avg Return: -627.94 | Avg Loss: 146.9009 | Time: 8.25s
Episodes: 7800 | Avg Return: -530.43 | Avg Loss: 145.7339 | Time: 7.69s
Episodes: 7900 | Avg Return: -504.56 | Avg Loss: 144.9748 | Time: 7.57s
Episodes: 8000 | Avg Return: -578.21 | Avg Loss: 144.3958 | Time: 7.33s
Episodes: 8100 | Avg Return: -622.04 | Avg Loss: 143.8354 | Time: 7.59s
Episodes: 8200 | Avg Return: -568.51 | Avg Loss: 142.8817 | Time: 7.60s
Episodes: 8300 | Avg Return: -544.79 | Avg Loss: 142.2076 | Time: 7.59s
Episodes: 8400 | Avg Return: -625.32 | Avg Loss: 141.6697 | Time: 7.86s
Episodes: 8500 | Avg Return: -496.46 | Avg Loss: 141.1641 | Time: 7.11s
Episodes: 8600 | Avg Return: -584.24 | Avg Loss: 140.4131 | Time: 7.38s
Episodes: 8700 | Avg Return: -594.60 | Avg Loss: 139.9611 | Time: 6.99s
Episodes: 8800 | Avg Return: -502.39 | Avg Loss: 139.6449 | Time: 8.08s
Episodes: 8900 | Avg Return: -583.88 | Avg Loss: 138.9733 | Time: 7.82s
Episodes: 9000 | Avg Return: -540.48 | Avg Loss: 138.1138 | Time: 7.18s
Episodes: 9100 | Avg Return: -527.02 | Avg Loss: 137.6158 | Time: 7.35s
Episodes: 9200 | Avg Return: -493.45 | Avg Loss: 137.2859 | Time: 7.11s
Episodes: 9300 | Avg Return: -530.18 | Avg Loss: 136.9121 | Time: 7.21s
Episodes: 9400 | Avg Return: -548.13 | Avg Loss: 136.4048 | Time: 7.13s
Episodes: 9500 | Avg Return: -544.58 | Avg Loss: 136.0949 | Time: 7.12s
Episodes: 9600 | Avg Return: -554.72 | Avg Loss: 135.6547 | Time: 7.21s
Episodes: 9700 | Avg Return: -534.37 | Avg Loss: 134.8834 | Time: 7.14s
Episodes: 9800 | Avg Return: -619.22 | Avg Loss: 134.4228 | Time: 7.12s
Episodes: 9900 | Avg Return: -628.73 | Avg Loss: 134.0935 | Time: 7.28s
Episodes: 10000 | Avg Return: -569.61 | Avg Loss: 134.1034 | Time: 7.30s
Episodes: 10100 | Avg Return: -560.56 | Avg Loss: 133.7416 | Time: 7.21s
Episodes: 10200 | Avg Return: -554.44 | Avg Loss: 133.0007 | Time: 7.82s
Episodes: 10300 | Avg Return: -549.72 | Avg Loss: 132.9999 | Time: 7.56s
Episodes: 10400 | Avg Return: -518.51 | Avg Loss: 132.7973 | Time: 7.74s
Episodes: 10500 | Avg Return: -503.52 | Avg Loss: 132.5992 | Time: 7.20s
Episodes: 10600 | Avg Return: -524.18 | Avg Loss: 132.0609 | Time: 7.68s
Episodes: 10700 | Avg Return: -553.59 | Avg Loss: 131.7443 | Time: 7.50s
Episodes: 10800 | Avg Return: -490.71 | Avg Loss: 131.3495 | Time: 8.49s
Episodes: 10900 | Avg Return: -514.38 | Avg Loss: 130.8182 | Time: 8.08s
Episodes: 11000 | Avg Return: -544.99 | Avg Loss: 130.7505 | Time: 7.48s
Episodes: 11100 | Avg Return: -491.91 | Avg Loss: 130.6262 | Time: 8.34s
Episodes: 11200 | Avg Return: -520.14 | Avg Loss: 129.7555 | Time: 8.29s
Episodes: 11300 | Avg Return: -599.15 | Avg Loss: 129.7294 | Time: 7.38s
Episodes: 11400 | Avg Return: -490.72 | Avg Loss: 129.6298 | Time: 7.61s
Episodes: 11500 | Avg Return: -521.21 | Avg Loss: 129.4377 | Time: 7.60s
Episodes: 11600 | Avg Return: -519.92 | Avg Loss: 128.7712 | Time: 7.47s
Episodes: 11700 | Avg Return: -493.40 | Avg Loss: 128.5485 | Time: 7.17s
Episodes: 11800 | Avg Return: -507.25 | Avg Loss: 128.6779 | Time: 7.39s
Episodes: 11900 | Avg Return: -489.85 | Avg Loss: 128.2594 | Time: 7.53s
Episodes: 12000 | Avg Return: -502.48 | Avg Loss: 128.1846 | Time: 7.79s
Episodes: 12100 | Avg Return: -478.71 | Avg Loss: 127.8761 | Time: 7.71s
Episodes: 12200 | Avg Return: -486.96 | Avg Loss: 127.4891 | Time: 7.42s
Episodes: 12300 | Avg Return: -482.10 | Avg Loss: 127.2741 | Time: 7.28s
Episodes: 12400 | Avg Return: -499.72 | Avg Loss: 127.0146 | Time: 8.13s
Episodes: 12500 | Avg Return: -465.64 | Avg Loss: 126.7828 | Time: 7.70s
Episodes: 12600 | Avg Return: -507.60 | Avg Loss: 126.4129 | Time: 8.48s
Episodes: 12700 | Avg Return: -553.78 | Avg Loss: 126.0332 | Time: 7.61s
Episodes: 12800 | Avg Return: -526.44 | Avg Loss: 126.1418 | Time: 7.47s
Episodes: 12900 | Avg Return: -499.66 | Avg Loss: 126.0059 | Time: 7.63s
Episodes: 13000 | Avg Return: -513.04 | Avg Loss: 125.3626 | Time: 7.57s
Episodes: 13100 | Avg Return: -548.90 | Avg Loss: 125.3087 | Time: 7.44s
Episodes: 13200 | Avg Return: -503.43 | Avg Loss: 125.1733 | Time: 7.36s
Episodes: 13300 | Avg Return: -523.53 | Avg Loss: 125.2551 | Time: 7.34s
Episodes: 13400 | Avg Return: -474.88 | Avg Loss: 124.7778 | Time: 7.57s
Episodes: 13500 | Avg Return: -472.34 | Avg Loss: 124.8700 | Time: 7.58s
Episodes: 13600 | Avg Return: -450.57 | Avg Loss: 124.6811 | Time: 7.62s
Episodes: 13700 | Avg Return: -582.41 | Avg Loss: 124.3218 | Time: 7.33s
Episodes: 13800 | Avg Return: -519.87 | Avg Loss: 124.1257 | Time: 7.03s
Episodes: 13900 | Avg Return: -569.33 | Avg Loss: 124.0565 | Time: 7.29s
Episodes: 14000 | Avg Return: -488.11 | Avg Loss: 124.1509 | Time: 7.25s
Episodes: 14100 | Avg Return: -450.76 | Avg Loss: 123.6788 | Time: 7.05s
Episodes: 14200 | Avg Return: -523.35 | Avg Loss: 123.3352 | Time: 7.17s
Episodes: 14300 | Avg Return: -468.95 | Avg Loss: 123.4720 | Time: 7.84s
Episodes: 14400 | Avg Return: -497.85 | Avg Loss: 122.9532 | Time: 8.45s
Episodes: 14500 | Avg Return: -552.17 | Avg Loss: 122.8508 | Time: 8.52s
Episodes: 14600 | Avg Return: -542.48 | Avg Loss: 123.0229 | Time: 8.17s
Episodes: 14700 | Avg Return: -470.17 | Avg Loss: 122.7614 | Time: 7.64s
Episodes: 14800 | Avg Return: -525.95 | Avg Loss: 122.5524 | Time: 8.08s
Episodes: 14900 | Avg Return: -475.95 | Avg Loss: 122.7945 | Time: 8.01s
Episodes: 15000 | Avg Return: -453.26 | Avg Loss: 122.3389 | Time: 8.32s
Episodes: 15100 | Avg Return: -525.89 | Avg Loss: 122.0485 | Time: 7.58s
Episodes: 15200 | Avg Return: -476.93 | Avg Loss: 122.0960 | Time: 7.43s
Episodes: 15300 | Avg Return: -488.38 | Avg Loss: 122.0426 | Time: 7.21s
Episodes: 15400 | Avg Return: -429.88 | Avg Loss: 121.8152 | Time: 7.28s
Episodes: 15500 | Avg Return: -550.52 | Avg Loss: 121.6046 | Time: 6.66s
Episodes: 15600 | Avg Return: -540.21 | Avg Loss: 121.3318 | Time: 7.15s
Episodes: 15700 | Avg Return: -535.32 | Avg Loss: 121.2527 | Time: 7.01s
Episodes: 15800 | Avg Return: -465.48 | Avg Loss: 121.2064 | Time: 7.13s
Episodes: 15900 | Avg Return: -483.29 | Avg Loss: 121.3509 | Time: 7.06s
Episodes: 16000 | Avg Return: -441.08 | Avg Loss: 120.9854 | Time: 7.31s
Episodes: 16100 | Avg Return: -461.59 | Avg Loss: 120.9210 | Time: 7.47s
Episodes: 16200 | Avg Return: -510.70 | Avg Loss: 120.9577 | Time: 6.87s
Episodes: 16300 | Avg Return: -504.28 | Avg Loss: 120.8418 | Time: 6.79s
Episodes: 16400 | Avg Return: -478.74 | Avg Loss: 120.3687 | Time: 7.16s
Episodes: 16500 | Avg Return: -502.62 | Avg Loss: 120.1855 | Time: 7.56s
Episodes: 16600 | Avg Return: -455.95 | Avg Loss: 120.3530 | Time: 8.00s
Episodes: 16700 | Avg Return: -476.64 | Avg Loss: 120.3677 | Time: 7.29s
Episodes: 16800 | Avg Return: -478.43 | Avg Loss: 119.8380 | Time: 7.27s
Episodes: 16900 | Avg Return: -470.72 | Avg Loss: 119.7554 | Time: 6.89s
Episodes: 17000 | Avg Return: -496.67 | Avg Loss: 120.1764 | Time: 7.36s
Episodes: 17100 | Avg Return: -563.23 | Avg Loss: 120.0120 | Time: 7.62s
Episodes: 17200 | Avg Return: -483.44 | Avg Loss: 119.5689 | Time: 8.05s
Episodes: 17300 | Avg Return: -478.25 | Avg Loss: 119.7838 | Time: 8.00s
Episodes: 17400 | Avg Return: -584.98 | Avg Loss: 119.8533 | Time: 8.14s
Episodes: 17500 | Avg Return: -515.12 | Avg Loss: 119.4935 | Time: 7.98s
Episodes: 17600 | Avg Return: -529.57 | Avg Loss: 119.3665 | Time: 8.46s
Episodes: 17700 | Avg Return: -521.04 | Avg Loss: 119.3946 | Time: 7.00s
Episodes: 17800 | Avg Return: -502.78 | Avg Loss: 119.1605 | Time: 7.80s
Episodes: 17900 | Avg Return: -515.21 | Avg Loss: 118.6914 | Time: 8.14s
Episodes: 18000 | Avg Return: -507.28 | Avg Loss: 118.9681 | Time: 7.62s
Episodes: 18100 | Avg Return: -512.56 | Avg Loss: 118.9512 | Time: 6.96s
Episodes: 18200 | Avg Return: -507.96 | Avg Loss: 118.8381 | Time: 8.16s
Episodes: 18300 | Avg Return: -474.01 | Avg Loss: 118.9820 | Time: 8.22s
