Ray cluster started. Available resources: {'accelerator_type:G': 1.0, 'node:__internal_head__': 1.0, 'GPU': 1.0, 'node:172.23.48.184': 1.0, 'memory': 9414015386.0, 'CPU': 12.0, 'object_store_memory': 4034578022.0}
Waiting for actors to initialize and run one episode...
[36m(LearnerActor pid=50245)[0m (Learner pid=50245) Initializing on GPU...
[36m(LearnerActor pid=50245)[0m (Learner pid=50245) Setup complete.

Warmup phase...
  Buffer size: 1000/1000
Warmup complete. Time Taken 0.84 seconds. Starting main training loop.
Episodes: 100 | Avg Return: -83.48 | Avg Loss: 28.6517 | Time: 15.56s
Episodes: 200 | Avg Return: -90.51 | Avg Loss: 26.4790 | Time: 1.85s
Episodes: 300 | Avg Return: -92.52 | Avg Loss: 25.3570 | Time: 1.87s
Episodes: 400 | Avg Return: -88.05 | Avg Loss: 24.1785 | Time: 1.87s
Episodes: 500 | Avg Return: -85.32 | Avg Loss: 23.2324 | Time: 1.95s
Episodes: 600 | Avg Return: -100.22 | Avg Loss: 22.3495 | Time: 2.04s
Episodes: 700 | Avg Return: -91.31 | Avg Loss: 21.1486 | Time: 1.88s
Episodes: 800 | Avg Return: -92.84 | Avg Loss: 20.2302 | Time: 1.79s
Episodes: 900 | Avg Return: -81.34 | Avg Loss: 19.4133 | Time: 1.70s
Episodes: 1000 | Avg Return: -98.46 | Avg Loss: 18.8985 | Time: 1.84s
Episodes: 1100 | Avg Return: -105.43 | Avg Loss: 18.4686 | Time: 1.90s
Episodes: 1200 | Avg Return: -94.47 | Avg Loss: 18.5016 | Time: 1.69s
Episodes: 1300 | Avg Return: -95.29 | Avg Loss: 17.9095 | Time: 1.80s
Episodes: 1400 | Avg Return: -98.98 | Avg Loss: 17.7888 | Time: 1.84s
Episodes: 1500 | Avg Return: -102.11 | Avg Loss: 17.6667 | Time: 1.81s
Episodes: 1600 | Avg Return: -94.65 | Avg Loss: 17.6116 | Time: 1.83s
Episodes: 1700 | Avg Return: -106.49 | Avg Loss: 17.0023 | Time: 2.12s
Episodes: 1800 | Avg Return: -92.66 | Avg Loss: 16.7440 | Time: 1.81s
Episodes: 1900 | Avg Return: -111.31 | Avg Loss: 16.4492 | Time: 2.08s
Episodes: 2000 | Avg Return: -101.34 | Avg Loss: 16.1978 | Time: 1.87s
Episodes: 2100 | Avg Return: -111.76 | Avg Loss: 15.8628 | Time: 1.76s
Episodes: 2200 | Avg Return: -89.21 | Avg Loss: 15.5031 | Time: 1.90s
Episodes: 2300 | Avg Return: -96.84 | Avg Loss: 15.3367 | Time: 1.84s
Episodes: 2400 | Avg Return: -99.15 | Avg Loss: 15.1720 | Time: 2.08s
Episodes: 2500 | Avg Return: -100.25 | Avg Loss: 15.0500 | Time: 2.19s
Episodes: 2600 | Avg Return: -87.06 | Avg Loss: 14.5588 | Time: 2.11s
Episodes: 2700 | Avg Return: -88.34 | Avg Loss: 14.4858 | Time: 1.96s
Episodes: 2800 | Avg Return: -98.29 | Avg Loss: 14.0301 | Time: 2.03s
Episodes: 2900 | Avg Return: -89.10 | Avg Loss: 13.6607 | Time: 2.07s
